541964,1,1,2005-06-06,4,2005-06-06,541964
752396,2,1,2005-05-04,2,2005-05-04,752396
1565228,1,2,2001-01-10,2,2001-01-10,1565228
1809029,2,2,2004-01-02,4,2004-01-02,1809029
2070131,2,2,2001-05-05,5,2001-05-05,1809029
2154847,2,2,2001-01-09,1,2001-01-09,1809029
2300010,2,1,2001-03-02,4,2001-03-02,752396
2801329,2,1,2002-09-18,4,2002-09-18,752396
4821886,2,2,2002-05-11,5,2002-05-11,1809029
4985555,2,1,2005-03-12,4,2005-03-12,752396
5189839,2,1,2002-11-13,4,2002-11-13,752396
6365448,1,1,2001-09-30,5,2001-09-30,541964
6677537,2,2,2004-12-24,5,2004-12-24,1809029
6914916,1,2,2004-12-28,1,2004-12-28,1565228
7290081,1,1,2004-01-12,5,2004-01-12,541964
7653381,2,2,2002-05-11,1,2002-05-11,1809029
8150662,2,1,2001-04-21,4,2001-04-21,752396
8380240,1,1,2002-12-05,2,2002-12-05,541964
8942246,1,1,2002-03-13,4,2002-03-13,541964
10646220,2,1,2005-11-14,3,2005-11-14,752396
10738153,1,2,2003-03-30,4,2003-03-30,1565228
10997901,1,1,2005-01-28,3,2005-01-28,541964
11095251,1,2,2005-04-01,3,2005-04-01,1565228
12178613,1,1,2003-01-19,1,2003-01-19,541964
14278616,2,1,2005-07-05,5,2005-07-05,752396
15593394,1,2,2005-01-30,2,2005-01-30,1565228
16266147,1,1,2001-01-18,4,2001-01-18,541964
18213567,1,2,2002-12-04,2,2002-12-04,1565228
18998233,1,2,2001-08-16,3,2001-08-16,1565228
19392359,2,1,2002-09-14,2,2002-09-14,752396
19849481,1,2,2003-02-22,3,2003-02-22,1565228
20722422,2,1,2005-03-04,5,2005-03-04,752396
20757402,2,2,2002-05-10,5,2002-05-10,1809029
21650768,1,2,2004-02-09,3,2004-02-09,1565228
21932444,2,1,2002-11-03,5,2002-11-03,752396
22666606,2,2,2003-03-02,3,2003-03-02,1809029
22861535,1,2,2003-01-17,2,2003-01-17,1565228
23677055,2,1,2001-04-29,5,2001-04-29,752396
24600969,2,1,2002-07-06,2,2002-07-06,752396
24935941,2,2,2005-02-23,3,2005-02-23,1809029
25560791,1,2,2001-03-25,2,2001-03-25,1565228
25641660,1,1,2004-08-22,5,2004-08-22,541964
25795320,2,2,2002-02-26,2,2002-02-26,1809029
25954593,1,1,2004-12-11,5,2004-12-11,541964
26677847,2,1,2004-01-24,1,2004-01-24,752396
27404904,2,1,2005-04-01,1,2005-04-01,752396
28665650,2,1,2004-12-18,5,2004-12-18,752396
29436829,1,1,2004-05-22,1,2004-05-22,541964
29656958,1,1,2001-10-22,4,2001-10-22,541964
30092413,2,2,2001-07-13,3,2001-07-13,1809029
30488452,1,2,2004-03-15,5,2004-03-15,1565228
30567550,2,2,2002-01-22,4,2002-01-22,1809029
30753033,1,2,2005-07-23,2,2005-07-23,1565228
31316372,2,2,2001-04-13,1,2001-04-13,1809029
31478708,1,1,2003-12-01,2,2003-12-01,541964
32313305,1,2,2004-08-07,3,2004-08-07,1565228
33347256,2,1,2004-11-23,1,2004-11-23,752396
33628284,2,1,2000-12-08,4,2000-12-08,752396
33943177,2,1,2005-02-27,3,2005-02-27,752396
35566355,2,2,2002-05-01,5,2002-05-01,1809029
35903057,1,1,2005-01-29,5,2005-01-29,541964
37023024,2,1,2002-12-12,1,2002-12-12,752396
37139585,2,2,2001-11-30,1,2001-11-30,1809029
37400104,1,1,2003-09-19,1,2003-09-19,541964
38405543,1,2,2004-05-11,2,2004-05-11,1565228
40149114,2,2,2002-07-11,2,2002-07-11,1809029
40856072,1,1,2002-02-15,1,2002-02-15,541964
40919191,2,1,2004-02-29,1,2004-02-29,752396
43617679,2,2,2005-05-10,4,2005-05-10,1809029
43720707,1,1,2001-11-04,2,2001-11-04,541964
43725787,2,1,2004-01-29,3,2004-01-29,752396
43908979,2,1,2002-06-19,1,2002-06-19,752396
45041149,2,1,2005-05-25,5,2005-05-25,752396
45463865,1,2,2003-08-25,5,2003-08-25,1565228
46496417,1,2,2001-04-05,1,2001-04-05,1565228
47065122,1,1,2005-11-14,1,2005-11-14,541964
47312841,1,1,2003-10-11,5,2003-10-11,541964
47609665,2,1,2002-04-16,2,2002-04-16,752396
47644426,2,2,2005-03-02,4,2005-03-02,1809029
47716874,2,2,2002-05-28,5,2002-05-28,1809029
47909013,2,1,2005-06-13,3,2005-06-13,752396
47979890,2,1,2001-12-09,1,2001-12-09,752396
48772670,2,2,2005-03-04,3,2005-03-04,1809029
50956197,2,2,2004-01-06,4,2004-01-06,1809029
54092398,1,1,2005-10-21,5,2005-10-21,541964
54472700,1,1,2002-12-24,3,2002-12-24,541964
54644283,2,2,2002-07-07,1,2002-07-07,1809029
54902468,1,2,2003-01-30,1,2003-01-30,1565228
55155762,1,1,2004-01-30,3,2004-01-30,541964
55695442,1,2,2005-01-01,4,2005-01-01,1565228
55881842,1,2,2003-01-28,3,2003-01-28,1565228
56092648,2,2,2004-02-26,5,2004-02-26,1809029
56244490,2,2,2004-12-01,4,2004-12-01,1809029
56857429,2,1,2002-11-04,3,2002-11-04,752396
57448207,1,1,2003-11-18,1,2003-11-18,541964
58499549,1,2,2003-12-06,5,2003-12-06,1565228
59011794,2,2,2005-10-03,4,2005-10-03,1809029
59499864,2,1,2004-02-24,4,2004-02-24,752396
60286197,2,1,2003-05-05,4,2003-05-05,752396
60301295,2,1,2000-12-10,2,2000-12-10,752396
60696910,2,2,2004-12-16,3,2004-12-16,1809029
61123960,2,1,2005-06-19,5,2005-06-19,752396
61225126,1,1,2003-10-11,4,2003-10-11,541964
61230378,1,1,2004-09-25,1,2004-09-25,541964
61296059,1,2,2002-01-12,5,2002-01-12,1565228
61542649,1,1,2002-11-09,3,2002-11-09,541964
61852023,2,1,2003-05-07,2,2003-05-07,752396
62923196,1,1,2001-05-19,5,2001-05-19,541964
63429492,1,2,2005-03-18,1,2005-03-18,1565228
63654003,1,2,2005-11-15,1,2005-11-15,1565228
64804710,2,2,2002-02-11,3,2002-02-11,1809029
65942905,2,2,2004-10-28,4,2004-10-28,1809029
66064836,2,2,2002-06-20,2,2002-06-20,1809029
66383549,1,1,2005-03-17,5,2005-03-17,541964
66537264,1,1,2004-06-05,1,2004-06-05,541964
66751801,2,2,2004-08-27,5,2004-08-27,1809029
67079950,1,2,2001-09-13,2,2001-09-13,1565228
67096509,1,2,2003-10-25,3,2003-10-25,1565228
67208022,1,1,2003-05-15,1,2003-05-15,541964
67936144,1,2,2005-04-10,3,2005-04-10,1565228
68401636,1,2,2000-12-26,4,2000-12-26,1565228
68639951,2,1,2003-11-22,2,2003-11-22,752396
70232393,1,2,2001-04-26,4,2001-04-26,1565228
70787365,1,2,2005-08-12,3,2005-08-12,1565228
70797735,1,1,2003-08-14,2,2003-08-14,541964
71048165,1,2,2001-01-22,5,2001-01-22,1565228
71568329,1,1,2002-02-28,1,2002-02-28,541964
72117696,1,2,2001-10-16,5,2001-10-16,1565228
72617165,1,2,2005-04-11,2,2005-04-11,1565228
73624324,2,2,2003-12-21,5,2003-12-21,1809029
73691682,1,1,2002-12-30,5,2002-12-30,541964
73977027,1,2,2003-05-21,3,2003-05-21,1565228
74657009,2,1,2004-04-07,1,2004-04-07,752396
74842907,2,2,2005-05-09,3,2005-05-09,1809029
75082243,1,2,2003-01-07,1,2003-01-07,1565228
75091200,1,1,2004-10-20,5,2004-10-20,541964
75653282,2,1,2005-06-28,4,2005-06-28,752396
75741484,1,2,2004-01-19,3,2004-01-19,1565228
76005833,1,1,2001-04-04,4,2001-04-04,541964
76393713,2,2,2005-06-11,5,2005-06-11,1809029
77727613,2,2,2003-08-19,4,2003-08-19,1809029
77748728,1,2,2003-10-26,4,2003-10-26,1565228
79085977,1,2,2004-10-25,4,2004-10-25,1565228
79334808,2,1,2002-10-25,4,2002-10-25,752396
79353654,1,2,2004-03-13,3,2004-03-13,1565228
79418488,1,1,2001-04-01,5,2001-04-01,541964
80410074,1,2,2004-07-08,4,2004-07-08,1565228
80732337,1,1,2003-07-26,3,2003-07-26,541964
81169252,1,1,2001-07-19,2,2001-07-19,541964
81421525,1,2,2002-05-01,3,2002-05-01,1565228
81678949,1,1,2001-11-14,2,2001-11-14,541964
