30340,1,16
30340,2,82
30340,3,51
30340,4,40
30340,5,34
541964,1,9
541964,2,14
541964,3,46
541964,4,51
541964,5,51
752396,1,43
752396,2,4
752396,3,64
752396,4,27
752396,5,4
1565228,1,46
1565228,2,37
1565228,3,25
1565228,4,43
1565228,5,39
1809029,1,51
1809029,2,20
1809029,3,38
1809029,4,13
1809029,5,61
2070131,1,84
2070131,2,48
2070131,3,29
2070131,4,26
2070131,5,29
2154847,1,42
2154847,2,17
2154847,3,9
2154847,4,56
2154847,5,54
2300010,1,78
2300010,2,50
2300010,3,70
2300010,4,60
2300010,5,14
2779216,1,81
2779216,2,4
2779216,3,23
2779216,4,57
2779216,5,73
2801329,1,60
2801329,2,71
2801329,3,39
2801329,4,22
2801329,5,66
3205536,1,56
3205536,2,0
3205536,3,42
3205536,4,39
3205536,5,35
4821886,1,50
4821886,2,80
4821886,3,58
4821886,4,18
4821886,5,31
4985555,1,60
4985555,2,19
4985555,3,58
4985555,4,34
4985555,5,85
5189839,1,65
5189839,2,36
5189839,3,52
5189839,4,11
5189839,5,64
6365448,1,70
6365448,2,28
6365448,3,79
6365448,4,60
6365448,5,35
6677537,1,51
6677537,2,37
6677537,3,63
6677537,4,36
6677537,5,56
6914916,1,83
6914916,2,55
6914916,3,74
6914916,4,6
6914916,5,19
7290081,1,17
7290081,2,64
7290081,3,22
7290081,4,20
7290081,5,30
7653381,1,35
7653381,2,38
7653381,3,57
7653381,4,75
7653381,5,18
8126915,1,77
8126915,2,55
8126915,3,69
8126915,4,57
8126915,5,7
8150662,1,60
8150662,2,11
8150662,3,41
8150662,4,6
8150662,5,30
8380240,1,3
8380240,2,22
8380240,3,70
8380240,4,34
8380240,5,69
8942246,1,21
8942246,2,13
8942246,3,70
8942246,4,50
8942246,5,22
10284079,1,60
10284079,2,64
10284079,3,25
10284079,4,2
10284079,5,12
10646220,1,30
10646220,2,22
10646220,3,5
10646220,4,20
10646220,5,47
10738153,1,32
10738153,2,28
10738153,3,37
10738153,4,25
10738153,5,48
10997901,1,64
10997901,2,19
10997901,3,21
10997901,4,46
10997901,5,34
11095251,1,10
11095251,2,20
11095251,3,54
11095251,4,77
11095251,5,81
12178613,1,75
12178613,2,65
12178613,3,32
12178613,4,83
12178613,5,24
14278616,1,79
14278616,2,47
14278616,3,10
14278616,4,13
14278616,5,4
15403670,1,47
15403670,2,12
15403670,3,25
15403670,4,8
15403670,5,27
15593394,1,32
15593394,2,58
15593394,3,11
15593394,4,6
15593394,5,72
16266147,1,66
16266147,2,18
16266147,3,44
16266147,4,0
16266147,5,10
17086201,1,18
17086201,2,27
17086201,3,34
17086201,4,21
17086201,5,47
18213567,1,37
18213567,2,30
18213567,3,67
18213567,4,2
18213567,5,25
18998233,1,16
18998233,2,70
