30340,4,0,31
541964,4,2,38
752396,2,1,36
1565228,5,1,31
1809029,5,2,30
2070131,2,1,30
2154847,5,1,37
2300010,5,0,35
2779216,5,2,36
2801329,5,0,33
3205536,3,2,36
4821886,2,3,40
4985555,4,3,37
5189839,2,1,40
6365448,2,1,35
6677537,5,3,40
6914916,4,1,35
7290081,5,2,33
7653381,1,2,38
8126915,5,1,38
8150662,1,0,40
8380240,3,0,32
8942246,4,1,40
10284079,2,3,37
10646220,2,1,39
10738153,3,3,33
10997901,3,0,32
11095251,3,1,38
12178613,1,2,31
14278616,5,0,31
15403670,5,3,35
15593394,2,2,40
16266147,3,0,34
17086201,3,3,35
18213567,1,2,37
18998233,3,3,35
19237015,2,1,35
19392359,4,3,39
19849481,4,3,37
20227268,5,0,31
20722422,3,0,31
20757402,2,0,40
21650768,1,3,35
21932444,2,2,40
22666606,4,0,35
22861535,1,2,39
23544294,3,0,36
23677055,2,2,32
24600969,5,0,36
24935941,1,0,36
25560791,3,2,38
25641660,5,1,31
25795320,1,2,36
25954593,5,3,35
26677847,2,3,35
27404904,3,1,39
28513915,4,0,31
28665650,1,0,36
29436829,4,3,31
29656958,5,2,32
29872993,3,0,39
30092413,4,0,34
30488452,4,1,40
30567550,4,1,37
30753033,4,2,34
31316372,1,0,33
31478708,5,3,31
31707215,1,0,34
31717496,1,2,40
32313305,3,0,33
33347256,4,0,31
33594141,3,3,32
33628284,3,2,39
33943177,2,1,39
34492163,2,3,31
34912750,5,3,38
34996211,3,3,34
35108976,2,1,37
35566355,5,3,40
35903057,5,2,39
37023024,5,1,33
37139585,2,3,35
37400104,1,3,30
38405543,3,1,37
39693354,1,2,40
40149114,5,0,33
40856072,3,1,38
40919191,2,2,32
42077107,2,2,32
43617679,2,3,40
43720707,4,2,30
43725787,1,3,34
43908979,4,2,38
45041149,1,1,30
45463865,1,0,39
46496417,5,1,31
47065122,1,1,34
47312841,2,1,34
47563224,4,3,38
47609665,5,1,40
47644426,3,1,36
47716874,1,0,40
47909013,4,0,33
47979890,4,0,32
48772670,1,2,39
48853007,4,3,34
49935254,1,1,39
49965594,4,1,38
50956197,2,3,37
54040532,1,1,38
54092398,4,0,34
54472700,1,0,40
54644283,1,0,35
54902468,4,1,32
55155762,1,1,31
55695442,2,2,34
55881842,1,2,31
56092648,5,2,31
56244490,3,2,30
56310269,3,3,31
56857429,5,3,39
57448207,1,0,36
58499549,4,0,32
59011794,4,1,33
59499864,4,3,36
60286197,4,2,38
60301295,1,3,32
60696910,4,1,38
61123960,4,2,38
61225126,3,0,31
61230378,1,1,40
61296059,5,0,35
61542649,3,2,34
61852023,2,0,38
62923196,5,3,32
63429492,3,0,37
63654003,1,0,39
64478125,2,1,35
64543424,3,3,38
64804710,1,2,40
65349271,5,2,39
65942905,5,1,30
66064836,4,2,33
66383549,1,2,35
66537264,2,0,30
66751801,1,2,38
67079950,1,2,30
67096509,5,2,33
67208022,1,1,38
67936144,5,3,31
68401636,4,3,39
68639951,5,1,34
68891600,3,3,37
69050090,3,0,33
70232393,1,2,39
70279454,4,1,38
70787365,2,2,32
70797735,4,2,39
71048165,2,3,35
71060708,3,0,33
71568329,3,2,39
71717972,4,1,34
72117696,1,0,34
72265456,2,3,36
72617165,1,3,34
73624324,2,1,32
73691682,3,2,33
73977027,4,1,35
74657009,4,3,40
74842907,3,3,39
75082243,3,3,37
75091200,3,1,39
75653282,2,3,39
75741484,2,3,38
76005833,1,0,31
76393713,3,2,31
77727613,3,1,30
77748728,3,3,32
77806064,4,2,31
79085977,5,2,38
79334808,5,2,31
79353654,5,2,34
79418488,4,2,34
79663136,3,3,36
80410074,5,1,39
80732337,1,2,35
81169252,4,1,31
81421525,2,3,39
81678949,5,0,40
82419593,3,0,34
82865924,1,2,35
82977138,2,1,33
83167800,3,2,34
83186583,4,0,39
83266801,3,1,35
83964704,4,1,35
84665615,5,3,36
84713274,5,1,30
85710436,2,2,30
86530414,2,1,36
87592005,2,1,36
88149656,1,3,36
88349753,4,1,34
89096466,2,1,35
89148231,3,3,40
89187310,5,0,38
90410882,1,0,38
90519559,1,2,33
90967414,2,2,39
91254784,4,3,39
92349725,2,2,31
92632319,3,0,40
93215998,2,0,34
93347103,2,2,37
93550317,4,3,38
93577803,1,1,32
93801807,4,1,37
94091839,3,2,35
94275111,3,2,34
94431978,3,2,31
94493479,1,2,32
94684524,5,0,30
95375793,4,0,39
96755757,3,3,39
96915193,5,3,30
96916789,4,0,31
96968697,2,0,38
97092096,1,3,38
97389765,4,2,36
97813113,2,3,31
99057379,4,1,30
99870001,5,0,40
100609095,4,1,36
100697473,2,1,35
101805941,2,1,40
102486177,4,1,39
102510563,1,0,38
103833760,2,2,34
104845218,5,1,35
104876079,5,2,37
105129460,4,1,33
105244400,1,3,37
